word,length,pos,has_okina,has_kahako,bare_form,definition
pulu,4,noun,0,0,pulu,"fibrous husk of any nut like coconuts, candlenuts etc; boll of cotton; down of ferns"
puna,4,noun,0,0,puna,spring (water source)
puni,4,verb,0,0,puni,"surrounded, enclosed"
puʻu,4,noun,1,0,puu,"any geological protuberance like hill, mound"
pākū,4,noun,0,1,paku,"partition, screen, curtain"
pāʻū,4,noun,1,1,pau,sarong
pēla,4,noun,0,1,pela,bail
pēpē,4,noun,0,1,pepe,baby (very young child)
pōpō,4,noun,0,1,popo,"ball, wad"
pūpū,4,noun,0,1,pupu,"bunch, tuft, bundle (as of grass); bouquet"
tahi,4,num,0,0,tahi,Niʻihau form of kahi (“one”)
teia,4,det,0,0,teia,Niʻihau form of kēia (“this”)
tela,4,det,0,0,tela,Niʻihau form of kēlā (“that”)
tita,4,noun,0,0,tita,sister
toʻu,4,det,1,0,tou,Niʻihau form of koʻu (“my”)
tumu,4,noun,0,0,tumu,Niʻihau form of kumu (“parent”)
tūtū,4,noun,0,1,tutu,"grandma, grandpa"
uahi,4,noun,0,0,uahi,smoke
uaua,4,verb,0,0,uaua,"tough, sinewy, glutinous, viscid, leathery"
uila,4,noun,0,0,uila,lightning
waha,4,noun,0,0,waha,mouth
waiū,4,noun,0,1,waiu,milk
waka,4,verb,0,0,waka,to flash
wala,4,verb,0,0,wala,to tilt backwards
wale,4,noun,0,0,wale,"any bodily secretion or mucus including phlegm, saliva"
walu,4,num,0,0,walu,"eight, eighth"
wana,4,noun,0,0,wana,"A sea urchin with long spines, such as the long-spined sea urchin (Diadema paucispinum) or the diadema urchin (Echinothrix diadema)."
wawā,4,noun,0,1,wawa,"racket, roar, loud talk"
waʻa,4,noun,1,0,waa,canoe
waʻu,4,verb,1,0,wau,"to scrape, to grate"
wehe,4,verb,0,0,wehe,to open; undo; take off; pull apart
wehi,4,noun,0,0,wehi,"decoration, ornament"
wela,4,verb,0,0,wela,to be hot
welo,4,verb,0,0,welo,"to flutter, to wave (of flags)"
wiki,4,verb,0,0,wiki,"to hasten, to speed up"
wili,4,verb,0,0,wili,"to bore, to drill, to screw"
wolu,4,noun,0,0,wolu,walrus
wāhi,4,verb,0,1,wahi,to split
wīwī,4,verb,0,1,wiwi,"thin, slender"
zeta,4,noun,0,0,zeta,The name of the Latin script letter Z/z.
ākea,4,verb,0,1,akea,"wide, broad"
ōewe,4,noun,0,1,oewe,gene
ʻAʻā,4,noun,1,1,aa,"the primary, visible star of the Sirius binary system; Sirius A"
ʻaha,4,noun,1,0,aha,"meeting, gathering, assembly"
ʻahi,4,noun,1,0,ahi,yellowfin tuna (Thunnus albacares)
ʻaho,4,noun,1,0,aho,thatch purlin and rafter
ʻahu,4,noun,1,0,ahu,"cape, shirt, coat, any upper garment"
ʻahā,4,num,1,1,aha,four
ʻaiā,4,verb,1,1,aia,"ungodly, godless"
ʻaiō,4,noun,1,1,aio,A wave that rises and falls without breaking.
ʻaka,4,verb,1,0,aka,to laugh
ʻaki,4,verb,1,0,aki,to snap
ʻako,4,verb,1,0,ako,"to pick, to pluck"
ʻala,4,noun,1,0,ala,"fragrance, perfume"
ʻale,4,noun,1,0,ale,"wave, billow"
ʻali,4,verb,1,0,ali,to scar
ʻalo,4,verb,1,0,alo,"to dodge, to evade"
ʻalu,4,noun,1,0,alu,loose skin over the eyeball
ʻami,4,noun,1,0,ami,locative preposition
ʻana,4,noun,1,0,ana,"A rough, sandpapery substance (pumice or Leiodermatium sponges)"
ʻano,4,noun,1,0,ano,"kind, type"
ʻape,4,noun,1,0,ape,"a large-leafed plant in the Araceae, related to taro, Alocasia macrorrhiza"
ʻaui,4,verb,1,0,aui,"to turn aside, to deviate"
ʻawa,4,noun,1,0,awa,kava (Piper methysticum)
ʻawe,4,verb,1,0,awe,to carry
ʻaʻa,4,noun,1,0,aa,clothlike sheath on the bottom of a coconut leaf frond
ʻaʻe,4,verb,1,0,ae,"to step over, to get on top of"
ʻaʻo,4,noun,1,0,ao,Hawaiian shearwater (Puffinus newelli)
ʻaʻā,4,noun,1,1,aa,"aa, a type of lava"
ʻeha,4,noun,1,0,eha,pain
ʻehu,4,noun,1,0,ehu,"spray, foam, mist, seaspray"
ʻehā,4,num,1,1,eha,four
ʻeke,4,noun,1,0,eke,"bag, sack"
ʻele,4,verb,1,0,ele,"dark, black"
ʻeli,4,verb,1,0,eli,to dig
ʻike,4,noun,1,0,ike,sight
ʻili,4,noun,1,0,ili,skin
ʻina,4,noun,1,0,ina,small sea urchin
ʻine,4,verb,1,0,ine,negative
ʻino,4,noun,1,0,ino,"hate, sin"
ʻiwa,4,noun,1,0,iwa,frigatebird
ʻiʻo,4,noun,1,0,io,flesh
ʻohe,4,noun,1,0,ohe,bamboo (plant; material)
ʻohi,4,verb,1,0,ohi,"to harvest, gather or pick"
ʻohu,4,noun,1,0,ohu,fog
ʻohā,4,noun,1,1,oha,taro corm growing from the older root
ʻoia,4,noun,1,0,oia,truth
ʻoka,4,verb,1,0,oka,to order
ʻole,4,verb,1,0,ole,"not, without, lacking"
ʻona,4,verb,1,0,ona,drunk
ʻono,4,verb,1,0,ono,"delicious, tasty"
ʻope,4,noun,1,0,ope,"anything wrapped or bundled i.e. parcels, packages, etc"
ʻopi,4,verb,1,0,opi,"to fold, to crease"
ʻuao,4,verb,1,0,uao,"to intercede, to mediate"
ʻuku,4,noun,1,0,uku,"louse, flea (insect)"
ʻula,4,noun,1,0,ula,red (color)
ʻulu,4,noun,1,0,ulu,breadfruit
ʻume,4,verb,1,0,ume,"to pull, to draw"
ʻumi,4,num,1,0,umi,"ten, tenth"
ʻupu,4,noun,1,0,upu,thought
ʻuwī,4,verb,1,1,uwi,"to squeak, to squeal"
ʻāne,4,verb,1,1,ane,positive
ʻāʻā,4,noun,1,1,aa,dumbness
ʻāʻī,4,noun,1,1,ai,neck
ʻēʻē,4,verb,1,1,ee,peculiar
ʻōmā,4,noun,1,1,oma,"Maine lobster, Homarus americanus"
ʻōpā,4,verb,1,1,opa,"to press, to squeeze"
ʻōpū,4,noun,1,1,opu,"stomach, belly, womb"
ʻōʻō,4,noun,1,1,oo,"oo, the extinct members of the Moho genus of honeyeaters"
ʻūpā,4,verb,1,1,upa,"to open and close the mouth in eating, speaking etc"
Kāmoa,5,verb,0,1,kamoa,Samoan
Kōlea,5,noun,0,1,kolea,Korean (native or inhabitant of either North Korea or South Korea)
Laosa,5,verb,0,0,laosa,Lao
Lūkia,5,verb,0,1,lukia,Russian
akula,5,particle,0,0,akula,"direction away from the speaker, away"
alani,5,noun,0,0,alani,brown algae (Dictyota)
alelo,5,noun,0,0,alelo,tongue
aliʻi,5,noun,1,0,alii,a hereditary rank of traditional chief
aloha,5,intj,0,0,aloha,"hello, greetings"
anilā,5,noun,0,1,anila,weather
aouli,5,noun,0,0,aouli,"firmament, sky"
aumoe,5,noun,0,0,aumoe,"midnight, late night"
awāwa,5,noun,0,1,awawa,"valley, ravine"
aʻela,5,particle,1,0,aela,"upward, sideways; next"
hahai,5,noun,0,0,hahai,pursuit
hahau,5,verb,0,0,hahau,"to strike, to hit"
haole,5,noun,0,0,haole,foreigner
henua,5,noun,0,0,henua,place
hihio,5,noun,0,0,hihio,soft whistling sound
hoana,5,noun,0,0,hoana,grindstone
hokua,5,noun,0,0,hokua,nape of the neck
holoi,5,noun,0,0,holoi,laundry
honua,5,noun,0,0,honua,land
huakō,5,noun,0,1,huako,fructose
huaʻi,5,verb,1,0,huai,to bubble up
huila,5,noun,0,0,huila,wheel
hālau,5,noun,0,1,halau,"longhouse, meeting house"
hāliu,5,verb,0,1,haliu,to turn
hānai,5,noun,0,1,hanai,"foster child, adopted child"
hānau,5,noun,0,1,hanau,birth
hāpai,5,verb,0,1,hapai,to carry
hāuli,5,verb,0,1,hauli,blackish
hāuna,5,noun,0,1,hauna,"a blow, a strike"
hōkeo,5,noun,0,1,hokeo,"bottle gourd (used to hold clothing, gear, etc.)"
hōʻae,5,verb,1,1,hoae,to pulverize
hōʻai,5,verb,1,1,hoai,to feed; to give to someone to eat
ihola,5,particle,0,0,ihola,downward; afterwards; self
ihona,5,noun,0,0,ihona,"incline, descent"
ikehu,5,noun,0,0,ikehu,"energy, power"
ilelo,5,particle,0,0,ilelo,basement
ilina,5,noun,0,0,ilina,"grave, tomb"
kaena,5,verb,0,0,kaena,"to boast, brag of"
kahua,5,noun,0,0,kahua,foundation; base; platform (of a house)
kaona,5,noun,0,0,kaona,kaona (hidden or secondary meaning in Hawaiian poetry)
katau,5,noun,0,0,katau,Niʻihau form of kākau (“writing”)
katou,5,pron,0,0,katou,Niʻihau form of kākou (“everybody”)
kauka,5,noun,0,0,kauka,doctor
kaula,5,noun,0,0,kaula,"rope, cord, string"
keiki,5,noun,0,0,keiki,child
keiti,5,noun,0,0,keiti,Niʻihau form of keiki (“child”)
kiawe,5,noun,0,0,kiawe,kiawe (Prosopis pallida)
kiaʻi,5,verb,1,0,kiai,"to guard, to watch over"
kiele,5,noun,0,0,kiele,gardenia
kinai,5,verb,0,0,kinai,"to extinguish, to put out"
koaea,5,verb,0,0,koaea,"dry, lacking juice or succulence, lacking the fluids that characterize food"
koali,5,noun,0,0,koali,morning glory
koena,5,noun,0,0,koena,ton (unit of measure)
koloa,5,noun,0,0,koloa,Hawaiian duck
kuapa,5,noun,0,0,kuapa,The rock wall of a fishpond
kuene,5,noun,0,0,kuene,steward
kuhia,5,noun,0,0,kuhia,"reference, note"
kukui,5,noun,0,0,kukui,"Aleurites moluccana, the candlenut tree and fruit"
kāhea,5,verb,0,1,kahea,"to call, to cry out"
kākau,5,noun,0,1,kakau,writing
kākou,5,pron,0,1,kakou,First person plural inclusive
kālai,5,verb,0,1,kalai,to carve
kālua,5,verb,0,1,kalua,to cook in an underground oven
kātou,5,pron,0,1,katou,Niʻihau form of kākou (“everybody”)
kāʻei,5,noun,1,1,kaei,"belt, sash"
kīhei,5,noun,0,1,kihei,"cape, shawl"
kōina,5,noun,0,1,koina,urging
kōkua,5,verb,0,1,kokua,to help
kōlea,5,noun,0,1,kolea,Pacific golden plover
kōʻai,5,verb,1,1,koai,to stir with a circular motion
kūhoa,5,noun,0,1,kuhoa,first person inclusive
kūkae,5,noun,0,1,kukae,"excrement, dung, feces"
kūlou,5,verb,0,1,kulou,to bow
kūmau,5,verb,0,1,kumau,"customary, usual"
kūnei,5,noun,0,1,kunei,first person exclusive
kūnou,5,verb,0,1,kunou,Lānaʻi form of kūlou (“to overflow”)
kūʻai,5,verb,1,1,kuai,to barter
laiki,5,noun,0,0,laiki,rice (Oryza sativa)
laulā,5,verb,0,1,laula,"wide, broad"
liona,5,noun,0,0,liona,lion
loaʻa,5,verb,1,0,loaa,"to acquire, to procure"
lonoā,5,noun,0,1,lonoa,rumor
luana,5,verb,0,0,luana,"to be at leisure, to enjoy oneself"
luaʻi,5,noun,1,0,luai,vomit
lāhui,5,noun,0,1,lahui,"race, nation, tribe, people, nationality"
lākiō,5,noun,0,1,lakio,ratio
lākou,5,pron,0,1,lakou,they (three or more)
lānai,5,noun,0,1,lanai,"a roofed patio, porch"
lāʻau,5,noun,1,1,laau,"tree, wood"
lūʻau,5,noun,1,1,luau,luau
mahae,5,verb,0,0,mahae,"to tear, to split, to separate"
maila,5,particle,0,0,maila,"hither, this way, towards the speaker"
maile,5,noun,0,0,maile,maile
maiʻa,5,noun,1,0,maia,banana (plant; fruit)
makai,5,adv,0,0,makai,"seaward, towards the sea"
makau,5,noun,0,0,makau,fishhook
makua,5,noun,0,0,makua,elder
mamao,5,verb,0,0,mamao,"far, distant, remote"
maoli,5,verb,0,0,maoli,"native, indigenous"
matua,5,noun,0,0,matua,Niʻihau form of makua (“parent”)
mauka,5,adv,0,0,mauka,inland; upland; towards the mountains
mauli,5,noun,0,0,mauli,life
mauna,5,noun,0,0,mauna,mountain
mauʻu,5,noun,1,0,mauu,grass
melia,5,noun,0,0,melia,frangipani
miula,5,noun,0,0,miula,mule
moana,5,noun,0,0,moana,"ocean, sea"
moena,5,noun,0,0,moena,mat
moloā,5,verb,0,1,moloa,lazy
māhea,5,verb,0,1,mahea,to be hazy
māihi,5,verb,0,1,maihi,"to peel, strip, as bark"
māino,5,noun,0,1,maino,"cruelty, harm"
mākia,5,noun,0,1,makia,"spike, stake, nail, pin"
mākou,5,pron,0,1,makou,First person plural exclusive
mālie,5,verb,0,1,malie,"calm, serene, still"
mālua,5,noun,0,1,malua,planting hole
mātua,5,noun,0,1,matua,Niʻihau form of mākua (“parents”)
māuna,5,noun,0,1,mauna,waste
mōhai,5,noun,0,1,mohai,"sacrifice, offering"
nahau,5,noun,0,0,nahau,arrow
nauki,5,verb,0,0,nauki,"impatient, irritable"
naʻau,5,noun,1,0,naau,"guts, intestines"
nihoa,5,verb,0,0,nihoa,"toothed, serrated"
niuhi,5,noun,0,0,niuhi,"A man-eating shark, especially the great white."
nohea,5,verb,0,0,nohea,"to be handsome, pretty, beautiful"
nāuki,5,noun,0,1,nauki,"vexation, anger"
nīane,5,noun,0,1,niane,neon (chemical element)
nīele,5,verb,0,1,niele,to keep asking questions
nīnau,5,noun,0,1,ninau,question
outou,5,noun,0,0,outou,Niʻihau form of ʻoukou (“second person plural; you (three or more)”)
paiki,5,noun,0,0,paiki,"bag, suitcase, purse"
paila,5,noun,0,0,paila,"pile, heap"
paina,5,noun,0,0,paina,"rising, swelling, breaking (as of waves)"
palai,5,noun,0,0,palai,"Any of species Microlepia setosa of native ferns placed on the altar of Laka, goddess of the hula."
panoa,5,verb,0,0,panoa,"barren, desolate"
paona,5,noun,0,0,paona,pound (unit of measure)
pehea,5,adv,0,0,pehea,how
pilau,5,noun,0,0,pilau,stench
poina,5,verb,0,0,poina,to forget
poliō,5,noun,0,1,polio,poliomyelitis
pouli,5,noun,0,0,pouli,darkness
puana,5,noun,0,0,puana,pronunciation
puaʻa,5,noun,1,0,puaa,"pig, hog, swine"
puaʻi,5,verb,1,0,puai,to flow (as water)
pāheu,5,noun,0,1,paheu,allergy
pāleo,5,verb,0,1,paleo,"to converse, to chat"
pālua,5,num,0,1,palua,"two by two, two at a time"
pāwai,5,noun,0,1,pawai,pond scum
pāweo,5,verb,0,1,paweo,to turn away from someone
pīʻao,5,noun,1,1,piao,a cuplike package made of folded ti leaves
pōhae,5,verb,0,1,pohae,torn
pōhai,5,noun,0,1,pohai,"circle (of people, trees)"
pōhue,5,noun,0,1,pohue,A gourd
pōniu,5,verb,0,1,poniu,"to rotate, to spin"
pōʻai,5,verb,1,1,poai,to coil up
ukana,5,noun,0,0,ukana,baggage
ulana,5,verb,0,0,ulana,to plait
ulukū,5,verb,0,1,uluku,"disturbed, upset"
uluna,5,noun,0,0,uluna,a special wooden headrest
unahi,5,noun,0,0,unahi,"scale, flake"
waena,5,noun,0,0,waena,middle
waiho,5,verb,0,0,waiho,"to leave, deposit"
waina,5,noun,0,0,waina,wine (alcoholic beverage)
wauke,5,noun,0,0,wauke,"The paper mulberry, Broussonetia papyifera, used to make kapa"
wikiō,5,noun,0,1,wikio,video
woela,5,noun,0,0,woela,vowel
wāwae,5,noun,0,1,wawae,"leg, foot"
ākala,5,noun,0,1,akala,pink
ōlaʻi,5,noun,1,1,olai,earthquake
ʻaeʻa,5,verb,1,0,aea,to wander
ʻaina,5,noun,1,0,aina,meal
ʻaiwa,5,num,1,0,aiwa,nine
ʻaiʻē,5,noun,1,1,aie,debt
ʻalua,5,num,1,0,alua,two
ʻanae,5,noun,1,0,anae,mullet (fish)
ʻaono,5,num,1,0,aono,six
ʻehia,5,pron,1,0,ehia,how many
ʻeiwa,5,num,1,0,eiwa,nine
ʻeleu,5,verb,1,0,eleu,"lively, energetic"
ʻelua,5,num,1,0,elua,two
ʻeono,5,num,1,0,eono,six
ʻiole,5,noun,1,0,iole,"rat, mouse; (especially) the Polynesian rat"
ʻolua,5,pron,1,0,olua,second person dual; you two
ʻowau,5,noun,1,0,owau,"meow, sound made by a cat"
ʻuala,5,noun,1,0,uala,sweet potato
ʻĀkia,5,verb,1,1,akia,"Asian; Asiatic (of, from or relating to Asia)"
ʻāhui,5,noun,1,1,ahui,"fruit bunch or cluster (of bananas, pandanus keys, grapes)"
ʻāina,5,noun,1,1,aina,land (earth; country; real estate)
ʻākau,5,noun,1,1,akau,right (not left)
ʻānai,5,verb,1,1,anai,"to rub, to scrub, to grind"
ʻēheu,5,noun,1,1,eheu,wing
ʻĪnia,5,noun,1,1,inia,Indian (person from India)
ʻīlio,5,noun,1,1,ilio,dog
ʻōiwi,5,noun,1,1,oiwi,"physique, appearance"
ʻōpio,5,noun,1,1,opio,"juvenile, youth, youngster"
ʻūlei,5,noun,1,1,ulei,"Osteomeles anthyllidifolia, a native Hawai'ian shrub whose tough wood is traditionally used to make a variety of tools and weapons"
Helene,6,verb,0,0,helene,Greek
Hinekū,6,noun,0,1,hineku,Hindu
Hōlani,6,verb,0,1,holani,Dutch
Kahiki,6,verb,0,0,kahiki,Tahitian
Kanakā,6,verb,0,1,kanaka,Canadian
Keokia,6,verb,0,0,keokia,Georgian
Kepanī,6,noun,0,1,kepani,a Japanese person
Kuleke,6,verb,0,0,kuleke,Turkish
Lāpule,6,noun,0,1,lapule,Sunday
Malaia,6,verb,0,0,malaia,Malay
Mekiko,6,verb,0,0,mekiko,Mexican
Palani,6,verb,0,0,palani,French
Palika,6,verb,0,0,palika,Parisian
Pukikī,6,noun,0,1,pukiki,a Portuguese person
Puruma,6,verb,0,0,puruma,Burmese
Pōlani,6,verb,0,1,polani,Polish
Pōpule,6,noun,0,1,popule,Sunday
Pōʻahā,6,noun,1,1,poaha,Thursday
ahiahi,6,noun,0,0,ahiahi,evening (time of day)
aikāne,6,noun,0,1,aikane,a man with whom one has sex
akaaka,6,verb,0,0,akaaka,"clear, transparent"
akalau,6,noun,0,0,akalau,The ghost of a living person.
akamai,6,noun,0,0,akamai,"intelligence, wit"
akaʻai,6,verb,1,0,akaai,to eat slowly
alahao,6,noun,0,0,alahao,"railroad, railway"
alaila,6,adv,0,0,alaila,there (at that place)
alaloa,6,noun,0,0,alaloa,"highway, beltway"
alanui,6,noun,0,0,alanui,"road, street, large path"
alawai,6,noun,0,0,alawai,channel
aniani,6,noun,0,0,aniani,"state of clarity, transparency"
anuanu,6,noun,0,0,anuanu,cold
aumiki,6,noun,0,0,aumiki,rip current
aupuni,6,noun,0,0,aupuni,"nation, country, kingdom"
awakea,6,noun,0,0,awakea,"noon, midday (time of day when the sun is the highest)"
awatea,6,noun,0,0,awatea,Niʻihau form of awakea (“midday”)
hakakā,6,verb,0,1,hakaka,to fight
haneli,6,num,0,0,haneli,hundred
haneri,6,num,0,0,haneri,hundred
hanini,6,verb,0,0,hanini,to overflow
hapahā,6,noun,0,1,hapaha,fourth (fourth part of something)
hauhau,6,verb,0,0,hauhau,cold (as food)
haumia,6,noun,0,0,haumia,pollution
haupia,6,noun,0,0,haupia,haupia (traditional pudding made with starch and coconut cream)
haʻina,6,noun,1,0,haina,verb
haʻuki,6,noun,1,0,hauki,sport
heheʻe,6,verb,1,0,hehee,to slide
heihei,6,noun,0,0,heihei,race (test of speed)
hekehi,6,noun,0,0,hekehi,hike
helekū,6,verb,0,1,heleku,to walk upright
hiamoe,6,noun,0,0,hiamoe,sleep
hikina,6,noun,0,0,hikina,east
hinakā,6,noun,0,1,hinaka,handkerchief
hiʻona,6,noun,1,0,hiona,general appearance
hoehoe,6,verb,0,0,hoehoe,to paddle a canoe
hohoki,6,verb,0,0,hohoki,neutral
hoihoi,6,verb,0,0,hoihoi,"to be interesting, fun"
holokū,6,noun,0,1,holoku,"Mother Hubbard, a kind of traditional dress"
hopena,6,noun,0,0,hopena,"ending, conclusion"
hoʻaʻā,6,verb,1,1,hoaa,"to kindle, to light"
hoʻonā,6,verb,1,1,hoona,"to soothe, to comfort"
hoʻāhu,6,verb,1,1,hoahu,"to heap up, to mound"
hoʻāla,6,verb,1,1,hoala,"to arouse, stir up, raise"
hoʻāli,6,verb,1,1,hoali,"to signal, to wave"
hoʻēmi,6,verb,1,1,hoemi,"to reduce, to diminish"
hoʻīli,6,verb,1,1,hoili,to land upon
hoʻōla,6,noun,1,1,hoola,salvation
hulina,6,noun,0,0,hulina,act of turning; reversal
hākiʻi,6,verb,1,1,hakii,"to tie, to bind"
hālana,6,verb,0,1,halana,to overflow
hāliʻi,6,noun,1,1,halii,cover
hālula,6,noun,0,1,halula,A sea urchin with spines longer than those of a wana.
hāmeʻa,6,noun,1,1,hamea,"device, doohickey, gadget, gizmo, thingamajig"
hānana,6,verb,0,1,hanana,Lānaʻi form of hālana (“to overflow”)
hāpuʻu,6,noun,1,1,hapuu,Hawaiian grouper (Hyporthodus quernus)
hāwāwā,6,verb,0,1,hawawa,"awkward, clumsy"
hāʻawe,6,verb,1,1,haawe,to carry on the back
hāʻawi,6,noun,1,1,haawi,"grant, deal"
hāʻuke,6,noun,1,1,hauke,helmet urchin (Colobocentrotus atratus)
hāʻule,6,verb,1,1,haule,to fall (from a height)
hīkiʻi,6,noun,1,1,hikii,"binding, tying"
hīmeni,6,noun,0,1,himeni,hymn
hīnano,6,noun,0,1,hinano,The fragrant male flower of the pandanus
hīnaʻi,6,noun,1,1,hinai,basket
hīʻōʻō,6,verb,1,1,hioo,"to be restless, active, flighty"
hōloʻa,6,verb,1,1,holoa,to dispense
hōʻaiā,6,verb,1,1,hoaia,to act wickedly
hōʻaka,6,verb,1,1,hoaka,to provoke laughter
hōʻalo,6,verb,1,1,hoalo,"to shun, to avoid, to escape"
hōʻano,6,verb,1,1,hoano,to cause to take a definite shape
hōʻino,6,verb,1,1,hoino,"to insult, to malign, to defame, to persecute"
hōʻoia,6,verb,1,1,hooia,"to confirm, to affirm, to certify"
hōʻole,6,verb,1,1,hoole,"to deny, to refuse, to reject"
hōʻona,6,verb,1,1,hoona,intoxicating
ihoiho,6,noun,0,0,ihoiho,core of a tree; heartwood
ikaika,6,noun,0,0,ikaika,strength
ikiiki,6,verb,0,0,ikiiki,to be humid
inumia,6,verb,0,0,inumia,to drink
iākala,6,noun,0,1,iakala,jackal
kahakō,6,noun,0,1,kahako,"A macron, which when written over a vowel indicates that the vowel is long."
kahiki,6,noun,0,0,kahiki,foreign country
kahiko,6,verb,0,0,kahiko,"old, traditional, ancient"
kahuna,6,noun,0,0,kahuna,"priest, sorcerer, magician, minister, wizard"
kainui,6,noun,0,0,kainui,high tide
kaioke,6,noun,0,0,kaioke,coyote
kalaka,6,noun,0,0,kalaka,truck
kalame,6,noun,0,0,kalame,gram (unit of measure)
kalima,6,noun,0,0,kalima,cream
kamani,6,noun,0,0,kamani,"Calophyllum inophyllum, tree with wood used for house and canoe making"
kanahā,6,num,0,1,kanaha,forty
kanaka,6,noun,0,0,kanaka,"man, human, human being"
kanakē,6,noun,0,1,kanake,"candy, sweets"
kanapī,6,noun,0,1,kanapi,centipede
kaukau,6,verb,0,0,kaukau,to set a snare
kaʻaka,6,noun,1,0,kaaka,"fellow, chap, person, wretch"
keakea,6,noun,0,0,keakea,semen
kekahi,6,det,0,0,kekahi,"a certain, some"
kekele,6,noun,0,0,kekele,degree
kekona,6,noun,0,0,kekona,second (unit of time)
keʻehi,6,verb,1,0,keehi,"to stamp, to tramp"
keʻena,6,noun,1,0,keena,"nook, corner"
kikiki,6,noun,0,0,kikiki,ticket
kikino,6,noun,0,0,kikino,noun
kilika,6,noun,0,0,kilika,silk
kilohi,6,verb,0,0,kilohi,to observe
kiniki,6,noun,0,0,kiniki,zinc (chemical element)
kinoea,6,noun,0,0,kinoea,gas
kipaku,6,verb,0,0,kipaku,"to banish, to expel"
koholā,6,noun,0,1,kohola,humpback whale
kokoke,6,verb,0,0,kokoke,"near, close, closeby, adjacent"
kokoko,6,verb,0,0,kokoko,bloody; (of meat) rare
kokomi,6,noun,0,0,kokomi,sodomy
kokomo,6,verb,0,0,kokomo,to penetrate
kokuli,6,noun,0,0,kokuli,earwax
kolepa,6,noun,0,0,kolepa,golf (sport)
kolili,6,verb,0,0,kolili,to flutter
kolohe,6,verb,0,0,kolohe,"mischievous, naughty"
kolopā,6,noun,0,1,kolopa,crowbar
konini,6,verb,0,0,konini,Lānaʻi form of kolili (“to flutter”)
kuahao,6,noun,0,0,kuahao,"anvil, heavy iron block as work surface in blacksmithing"
kuhina,6,noun,0,0,kuhina,"councilor, minister, secretary"
kuikui,6,noun,0,0,kuikui,Niʻihau form of kukui (“candlenut”)
kukukū,6,noun,0,1,kukuku,caribou
kukula,6,verb,0,0,kukula,to attend school
kukule,6,verb,0,0,kukule,inactive
kukuli,6,verb,0,0,kukuli,to kneel
kulaʻi,6,verb,1,0,kulai,to push over; to overthrow; to shove; to push to one side
kumino,6,noun,0,0,kumino,cumin
kunāne,6,noun,0,1,kunane,brother or male cousin
kupuna,6,noun,0,0,kupuna,grandparent
kuʻina,6,noun,1,0,kuina,"punch, blow"
kāhala,6,noun,0,1,kahala,greater amberjack
kāhewa,6,verb,0,1,kahewa,"to miss, not find"
kāhili,6,noun,0,1,kahili,"feather standard mounted on a pole, as traditionally used in Hawaii on ceremonial occasions"
kāhinu,6,verb,0,1,kahinu,to anoint
kāholo,6,verb,0,1,kaholo,"swift, quick"
kāhuli,6,verb,0,1,kahuli,to change
kāhāhā,6,verb,0,1,kahaha,"to wonder, to be surprised"
kākela,6,noun,0,1,kakela,castle
kākini,6,noun,0,1,kakini,stocking
kākoʻo,6,verb,1,1,kakoo,"to support, to uphold, to favor"
kālani,6,noun,0,1,kalani,gallon (unit of measure)
kālele,6,verb,0,1,kalele,to lean upon
kālepa,6,noun,0,1,kalepa,"merchant, trader"
kāmaʻa,6,noun,1,1,kamaa,"sandal, slipper"
kāpena,6,noun,0,1,kapena,captain
kāwili,6,verb,0,1,kawili,to snare
kāʻahi,6,noun,1,1,kaahi,train
kāʻalo,6,verb,1,1,kaalo,to pass by
kēneka,6,noun,0,1,keneka,cent (currency unit)
kēpuka,6,noun,0,1,kepuka,"prank, trick"
kīkoʻo,6,verb,1,1,kikoo,"to stretch out, to extend"
kīpuka,6,noun,0,1,kipuka,"a variation or change in form, such as:"
kīwila,6,noun,0,1,kiwila,civilian
kīʻaha,6,noun,1,1,kiaha,"cup, mug"
kōnane,6,noun,0,1,konane,bright moonlight
kōpaʻa,6,noun,1,1,kopaa,sugar
kōʻala,6,noun,1,1,koala,grill
kūkini,6,noun,0,1,kukini,"a runner, swift messenger, as employed by old chiefs, with a premium on their speed"
kūkulu,6,noun,0,1,kukulu,"pillar, post"
kūlana,6,noun,0,1,kulana,"position, situation"
kūlolo,6,noun,0,1,kulolo,kulolo (traditional dessert made from taro and coconut)
kūmūmū,6,verb,0,1,kumumu,"dull, blunt"
lakuna,6,noun,0,0,lakuna,raccoon
lauhoe,6,noun,0,0,lauhoe,blade of a paddle
lauoho,6,noun,0,0,lauoho,hair (of human head)
lawena,6,noun,0,0,lawena,"carrying, movement"
lelele,6,verb,0,0,lelele,"to hop about, to caper"
lelemu,6,verb,0,0,lelemu,"sluggish, disinclined to get up"
leoleo,6,verb,0,0,leoleo,to speak loudly or vociferously
lumaʻi,6,verb,1,0,lumai,to drown (someone)
lākana,6,noun,0,1,lakana,lantana
lānahu,6,noun,0,1,lanahu,"coal, charcoal"
lāpaki,6,noun,0,1,lapaki,rabbit
lāʻiki,6,verb,1,1,laiki,tight
lēpela,6,noun,0,1,lepela,leprosy (disease)
lōkahi,6,noun,0,1,lokahi,"unity, accord"
lōʻihi,6,noun,1,1,loihi,"length, distance"
lūauʻi,6,noun,1,1,luaui,birth parent
mahalo,6,intj,0,0,mahalo,thank you
mahana,6,verb,0,0,mahana,warm
mahele,6,noun,0,0,mahele,"division, section"
mahina,6,noun,0,0,mahina,moon
